symbol,total_volume,latest_price,avg_price,trades_count,expiration,expiration_date,option_type,strike
NQU5 P13000,5,9.0,9.0,2,2025-09-19 13:30:00+00:00,2025-09-19,put,13000.0
NQU5 C23200,13,609.5,602.5714285714286,7,2025-09-19 13:30:00+00:00,2025-09-19,call,23200.0
NQU5 P22600,1,591.0,591.0,1,2025-09-19 13:30:00+00:00,2025-09-19,put,22600.0
UD:2V: VT 2684259,1,356.5,356.5,1,2025-07-18 21:59:00+00:00,2025-07-18,unknown,
NQU5 P21800,9,345.75,345.75,1,2025-09-19 13:30:00+00:00,2025-09-19,put,21800.0
NQU5 C22400,2,1085.25,1085.25,1,2025-09-19 13:30:00+00:00,2025-09-19,call,22400.0
NQU5 P23300,5,833.75,833.75,1,2025-09-19 13:30:00+00:00,2025-09-19,put,23300.0
UD:2V: VT 2573488,19,23.0,23.0,2,2025-07-18 21:59:00+00:00,2025-07-18,unknown,
NQU5 P23100,10,736.25,742.25,2,2025-09-19 13:30:00+00:00,2025-09-19,put,23100.0
NQU5 C25250,1,50.0,50.0,1,2025-09-19 13:30:00+00:00,2025-09-19,call,25250.0
UD:2V: IC 2574027,1,45.75,45.75,1,2025-07-18 21:59:00+00:00,2025-07-18,unknown,
NQU5 C23900,8,285.0,285.0,1,2025-09-19 13:30:00+00:00,2025-09-19,call,23900.0
UD:2V: IC 2575280,4,29.75,29.75,1,2025-07-18 21:59:00+00:00,2025-07-18,unknown,
UD:2V: DG 2562009,5,180.0,180.0,1,2025-07-18 21:59:00+00:00,2025-07-18,unknown,
NQU5 P22700,5,548.25,553.3125,4,2025-09-19 13:30:00+00:00,2025-09-19,put,22700.0
NQU5 P22900,1,626.25,626.25,1,2025-09-19 13:30:00+00:00,2025-09-19,put,22900.0
UD:2V: VT 2560203,1,259.0,259.0,1,2025-07-18 21:59:00+00:00,2025-07-18,unknown,
NQU5 P22400,7,455.25,463.625,2,2025-09-19 13:30:00+00:00,2025-09-19,put,22400.0
NQU5 C20500,1,2670.0,2670.0,1,2025-09-19 13:30:00+00:00,2025-09-19,call,20500.0
UD:2V: VT 2578222,3,560.5,560.75,3,2025-07-18 21:59:00+00:00,2025-07-18,unknown,
NQU5 C23700,3,373.5,373.5,1,2025-09-19 13:30:00+00:00,2025-09-19,call,23700.0
UD:2V: GN 2579511,1,-48.0,-48.0,1,2025-07-18 21:59:00+00:00,2025-07-18,unknown,
NQU5 P21400,9,256.25,256.25,2,2025-09-19 13:30:00+00:00,2025-09-19,put,21400.0
